1680
torch.Size([1, 500, 512]) torch.Size([1, 6, 2])
         450092 function calls (437207 primitive calls) in 4.099 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:61(DeQuantize)
        1    0.000    0.000    0.000    0.000 __init__.py:62(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:688(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:7(Warning)
        3    0.000    0.000    0.000    0.000 __init__.py:7(set_module)
        1    0.000    0.000    0.000    0.000 __init__.py:730(Filter)
        2    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:767(Filterer)
        8    0.000    0.000    0.000    0.000 __init__.py:772(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:79(__setattr__)
        2    0.000    0.000    0.000    0.000 __init__.py:8(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:80(import_lzma)
        1    0.000    0.000    0.000    0.000 __init__.py:839(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:849(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:858(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:86(cuBLASModule)
        1    0.000    0.000    0.000    0.000 __init__.py:887(createLock)
        1    0.001    0.001    0.023    0.023 _add_newdocs.py:1(<module>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:5984(refer_to_array_attribute)
        1    0.000    0.000    0.004    0.004 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:16(numeric_type_aliases)
       18    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:17(type_aliases_gen)
       24    0.001    0.000    0.003    0.000 _add_newdocs_scalars.py:52(add_newdoc_for_scalar_type)
       34    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:58(<genexpr>)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:59(<genexpr>)
        1    0.000    0.000    0.002    0.002 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _asarray.py:23(asarray)
        1    0.000    0.000    0.000    0.000 _async.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _atfork.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _atfork.py:15(_register)
        1    0.000    0.000    0.000    0.000 _atfork.py:18(register_after_fork)
        1    0.000    0.000    0.038    0.038 _base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:112(_AllCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:142(_AcquireFutures)
        1    0.000    0.000    0.000    0.000 _base.py:313(Future)
        1    0.000    0.000    0.000    0.000 _base.py:376(BaseExcelReader)
        1    0.000    0.000    0.001    0.001 _base.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:44(Error)
